Spectrum No.1     [   2.3066 sec]:103_QC2.d / No Gas
Acquired      :,2020-02-07 22:13:53,using Batch,200207_MainInc_ME_1_a.b
Subtraction File:,---




Mass,Element,CPS,,n,SD,RSD[%],Time(Sec)
55,Mn,11841838.0459012,A,5,102974.5,0.87,0.09990
88,Sr,12476576.9499457,A,5,125821.91,1.01,0.09990
103,Rh,292833.004329518,P,5,3115.07,1.06,0.09990
115,In,3112123.35747875,A,5,24931.28,0.8,0.09990
137,Ba,1749110.3690668,A,5,8725.29,0.5,0.09990
208,Pb,6891274.03127688,A,5,71482.78,1.04,0.09990
238,U,12830778.2637824,A,5,76823.63,0.6,0.09990


          Printed:2020-02-07 22:14:41
