Spectrum No.1     [   2.3045 sec]:009CALS.d / No Gas
Acquired      :,2020-02-07 15:40:25,using Batch,200207_MainInc_ME_1_a.b
Subtraction File:,---




Mass,Element,CPS,,n,SD,RSD[%],Time(Sec)
55,Mn,102297647.543972,A,5,677562.51,0.66,0.09990
88,Sr,111838711.271603,A,5,599593.8,0.54,0.09990
103,Rh,286788.041610991,P,5,4013.99,1.4,0.09990
115,In,2856966.4282878,A,5,14467.59,0.51,0.09990
137,Ba,16516458.7519375,A,5,91175.58,0.55,0.09990
208,Pb,73240746.1661624,A,5,485775.89,0.66,0.09990
238,U,142483563.544369,A,5,655677.91,0.46,0.09990


          Printed:2020-02-07 15:41:13
