Spectrum No.1     [   2.4468 sec]:006CALS.d / No Gas
Acquired      :,2020-02-07 15:28:01,using Batch,200207_MainInc_ME_1_a.b
Subtraction File:,---




Mass,Element,CPS,,n,SD,RSD[%],Time(Sec)
55,Mn,1821710.34148178,A,5,10128.38,0.56,0.09990
88,Sr,1977317.63078962,A,5,11492.59,0.58,0.09990
103,Rh,282235.025865007,P,5,2506.59,0.89,0.09990
115,In,2875580.99532412,A,5,26634.13,0.93,0.09990
137,Ba,284384.728226016,P,5,1342.75,0.47,0.09990
208,Pb,1237078.19086312,P,5,3931.53,0.32,0.09990
238,U,2476807.84559671,A,5,27121.42,1.1,0.09990


          Printed:2020-02-07 15:28:53
