Spectrum No.1     [   2.6496 sec]:003CALS.d / He
Acquired      :,2020-02-07 15:15:40,using Batch,200207_MainInc_ME_1_a.b
Subtraction File:,---




Mass,Element,CPS,,n,SD,RSD[%],Time(Sec)
24,Mg,1629.94922011106,P,5,124.74,7.65,0.09990
27,Al,754.879769254259,P,5,87.45,11.58,0.09990
31,P,362.416018344984,P,5,78.64,21.7,0.09990
51,V,10942.1375528826,P,5,158.72,1.45,0.09990
52,Cr,15517.0929012713,P,5,155.47,1,0.09990
55,Mn,8153.33447426404,P,5,422.96,5.19,0.09990
56,Fe,21536.498264026,P,5,710.96,3.3,0.09990
57,Fe,488.570370787192,P,5,111.8,22.88,0.09990
60,Ni,7552.34303157998,P,5,386.23,5.11,0.09990
63,Cu,19297.2383310208,P,5,468.61,2.43,0.09990
66,Zn,14310.519243652,P,5,625.57,4.37,0.09990
75,As,2166.63305606211,P,5,236.61,10.92,0.09990
88,Sr,11309.0475407659,P,5,410.56,3.63,0.09990
103,Rh,158281.077259408,P,5,785.04,0.5,0.09990
115,In,714312.545195075,P,5,5403.09,0.76,0.09990


          Printed:2020-02-07 15:16:33
