Spectrum No.1     [   2.3045 sec]:008CALS.d / No Gas
Acquired      :,2020-02-07 15:36:15,using Batch,200207_MainInc_ME_1_a.b
Subtraction File:,---




Mass,Element,CPS,,n,SD,RSD[%],Time(Sec)
55,Mn,20557218.7445889,A,5,99775.37,0.49,0.09990
88,Sr,22348763.1008356,A,5,111035.6,0.5,0.09990
103,Rh,283750.382965602,P,5,2787.84,0.98,0.09990
115,In,2877752.04129361,A,5,40873.6,1.42,0.09990
137,Ba,3313404.58474061,A,5,24974.71,0.75,0.09990
208,Pb,14622763.623517,A,5,72066.8,0.49,0.09990
238,U,28349389.8912459,A,5,99383.51,0.35,0.09990


          Printed:2020-02-07 15:37:04
