Spectrum No.1     [   2.6496 sec]:005CALS.d / He
Acquired      :,2020-02-07 15:23:56,using Batch,200207_MainInc_ME_1_a.b
Subtraction File:,---




Mass,Element,CPS,,n,SD,RSD[%],Time(Sec)
24,Mg,10714.6661319551,P,5,177.76,1.66,0.09990
27,Al,4772.17505260061,P,5,296.27,6.21,0.09990
31,P,700.821950140552,P,5,28.32,4.04,0.09990
51,V,129226.783755005,P,5,1490.22,1.15,0.09990
52,Cr,161471.81182689,P,5,2745.13,1.7,0.09990
55,Mn,95349.3454984082,P,5,1964.85,2.06,0.09990
56,Fe,153377.127584043,P,5,2508.48,1.64,0.09990
57,Fe,3856.86936778171,P,5,313.48,8.13,0.09990
60,Ni,78919.2289489129,P,5,723.57,0.92,0.09990
63,Cu,217699.391918477,P,5,2953.24,1.36,0.09990
66,Zn,41139.5888232196,P,5,1238.95,3.01,0.09990
75,As,24040.9745759425,P,5,931.85,3.88,0.09990
88,Sr,125916.048331519,P,5,1609.22,1.28,0.09990
103,Rh,157233.956933781,P,5,1958.82,1.25,0.09990
115,In,717352.377889437,P,5,5063.97,0.71,0.09990


          Printed:2020-02-07 15:24:49
