Spectrum No.1     [   2.6496 sec]:005CALS.d / No Gas
Acquired      :,2020-02-07 15:23:56,using Batch,200207_MainInc_ME_1_a.b
Subtraction File:,---




Mass,Element,CPS,,n,SD,RSD[%],Time(Sec)
55,Mn,1034937.135053,P,5,6671.26,0.64,0.09990
88,Sr,1114388.91215631,P,5,6318.33,0.57,0.09990
103,Rh,285931.077254948,P,5,4959.5,1.73,0.09990
115,In,2888986.66614771,A,5,53273.77,1.84,0.09990
137,Ba,163321.891333413,P,5,1055.31,0.65,0.09990
208,Pb,713502.469522939,P,5,3540.75,0.5,0.09990
238,U,1380307.00838521,P,5,3685.03,0.27,0.09990


          Printed:2020-02-07 15:24:49
