Spectrum No.1     [   2.6496 sec]:004CALS.d / He
Acquired      :,2020-02-07 15:19:44,using Batch,200207_MainInc_ME_1_a.b
Subtraction File:,---




Mass,Element,CPS,,n,SD,RSD[%],Time(Sec)
24,Mg,3854.86143951402,P,5,374.36,9.71,0.09990
27,Al,1788.15501249352,P,5,131.81,7.37,0.09990
31,P,466.544426016875,P,5,136.29,29.21,0.09990
51,V,21403.924410663,P,5,784.18,3.66,0.09990
52,Cr,28390.4084513298,P,5,705.2,2.48,0.09990
55,Mn,15342.5699958418,P,5,473.83,3.09,0.09990
56,Fe,36584.2445769415,P,5,1137.93,3.11,0.09990
57,Fe,822.958755876888,P,5,135.7,16.49,0.09990
60,Ni,16280.5476743655,P,5,616.5,3.79,0.09990
63,Cu,36714.5641008591,P,5,549.56,1.5,0.09990
66,Zn,16204.4295667517,P,5,620.17,3.83,0.09990
75,As,4125.25094486075,P,5,180.64,4.38,0.09990
88,Sr,20456.3915840661,P,5,460.29,2.25,0.09990
103,Rh,157045.556626048,P,5,3065.02,1.95,0.09990
115,In,712716.640753101,P,5,9946.25,1.4,0.09990


          Printed:2020-02-07 15:20:37
