Spectrum No.1     [   2.4468 sec]:006CALS.d / He
Acquired      :,2020-02-07 15:28:01,using Batch,200207_MainInc_ME_1_a.b
Subtraction File:,---




Mass,Element,CPS,,n,SD,RSD[%],Time(Sec)
24,Mg,18046.0777907262,P,5,327.8,1.82,0.09990
27,Al,9363.31831074088,P,5,566.86,6.05,0.09990
31,P,857.009716190689,P,5,122.75,14.32,0.09990
51,V,228764.35297413,P,5,3356.05,1.47,0.09990
52,Cr,284359.859608275,P,5,2445.95,0.86,0.09990
55,Mn,163751.144790499,P,5,2167.75,1.32,0.09990
56,Fe,261507.107270331,P,5,3768.43,1.44,0.09990
57,Fe,6478.68319740872,P,5,372.04,5.74,0.09990
60,Ni,137134.637619367,P,5,1462.02,1.07,0.09990
63,Cu,372690.669728699,P,5,4364.06,1.17,0.09990
66,Zn,68504.0621959232,P,5,1976.24,2.88,0.09990
75,As,41866.5022344619,P,5,975.44,2.33,0.09990
88,Sr,220874.40373251,P,5,1771.15,0.8,0.09990
103,Rh,158676.29863874,P,5,2655.51,1.67,0.09990
115,In,716025.058429234,P,5,8575.9,1.2,0.09990


          Printed:2020-02-07 15:28:53
